MIDI,dB,Total,Clarity,Crest,SpecBal,CPP,Entropy,dEGGmax,Qcontact,Icontact,HRFegg,maxCluster,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,maxCPhon,cPhon 1,cPhon 2,cPhon 3,cPhon 4,cPhon 5,cPhon 6
50,53,63,0.986423435,1.639701587,-26.55842175,17.46532262,4.4157,2.078023257,0.473833293,0.07698,-23.8001,5,0,0,1,0,17,6,0,0,0,0,0,18
50,54,73,0.987142126,1.656519209,-28.03473792,19.48275787,3.8438,2.158282156,0.46421099,0.04981,-15.40696,5,0,0,2,0,14,6,0,0,0,0,0,16
50,55,115,0.987805511,1.724589003,-28.76811902,19.08279266,4.84905,2.429725681,0.459307367,0.00827,-23.52208,5,0,0,0,0,51,6,0,0,0,0,0,51
50,56,38,0.988344211,1.736457859,-29.40949536,18.7969309,6.26033,1.830323849,0.462413565,0.00353,-24.57455,5,0,0,0,0,2,6,0,0,0,0,0,2
50,57,38,0.986415767,1.799898856,-30.43841048,18.98594967,4.28059,3.006391031,0.400374596,0.03602,-27.67213,5,0,0,0,0,13,6,0,0,0,0,0,13
50,58,113,0.984018418,1.751491272,-31.32219568,20.18477906,7.7023,3.027277692,0.398219214,0.03454,-34.63748,5,0,0,0,0,3,6,0,0,0,0,0,3
50,59,131,0.979756051,1.691271907,-31.51761407,21.86382183,4.7577,2.768387887,0.418994601,0.09843,-25.04404,3,0,0,5,0,3,6,0,0,0,0,0,8
50,60,264,0.98326466,1.752905618,-31.85752862,23.21448822,6.67504,3.143719387,0.414385067,0.06389,-41.72654,5,0,0,0,0,1,6,0,0,0,0,0,1
50,61,53,0.986243654,1.791788847,-31.51346108,23.4992865,4.46913,3.250189451,0.415364786,0.1084,-6.51445,5,0,0,0,0,2,6,0,0,0,0,0,2
50,62,70,0.985852711,1.802908166,-32.41478885,23.67417776,2.16966,3.428023218,0.405452198,0.07627,-11.44377,5,0,0,0,0,11,6,0,0,5,0,0,6
50,63,57,0.98914651,1.882488995,-31.41366089,23.679712,4.43934,3.675755186,0.409202508,0.04456,-24.74018,5,0,0,0,0,21,6,0,0,0,0,0,21
50,64,22,0.989109135,1.837124629,-30.71998954,23.36108673,4.9203,4.068522625,0.405157898,0.0413,-14.62567,5,0,0,0,0,13,6,0,0,0,0,0,13
50,65,62,0.98579681,1.898841596,-30.05928977,25.08823194,4.32671,4.696514261,0.405738074,0.02278,-25.11759,5,0,0,0,0,27,6,0,0,0,0,0,27
50,66,105,0.977376872,2.035547273,-29.75011245,26.12259174,3.24259,4.621318182,0.390701964,0.0721,-27.32361,5,0,0,0,0,1,6,0,0,0,0,0,1
50,67,105,0.984333974,2.0835312,-27.65688799,26.75497536,5.24556,5.196858303,0.375009378,0.02756,-25.84941,5,0,0,0,0,26,6,0,0,0,0,0,26
50,68,116,0.985201283,2.072201993,-26.05893899,26.91797613,6.29144,5.287644947,0.361807067,0.11742,-37.72323,5,0,0,0,0,11,6,0,0,0,0,0,11
50,69,75,0.985178918,2.055256779,-24.81180542,27.12760747,5.49154,5.698125391,0.363276655,0.04088,-42.11197,5,0,0,0,0,10,6,0,0,0,0,0,10
50,70,13,0.989200091,2.170299111,-22.4499012,27.63604643,5.33704,5.233218161,0.386310018,0.05878,-42.73586,5,0,0,0,0,2,6,0,0,0,0,0,2
50,71,38,0.98138526,2.202613072,-23.10251156,27.81617174,2.06122,6.484546565,0.400649431,0.09853,-6.43604,5,0,0,0,0,13,3,0,0,7,0,3,3
50,72,25,0.988754353,2.196571116,-22.50319818,28.58187509,3.53598,6.461338974,0.411909551,0.03152,-24.49509,5,0,0,0,0,30,6,0,0,0,0,0,30
50,73,65,0.981175282,2.195721255,-22.04858578,29.00715628,5.30374,6.633415263,0.453784685,0.07211,-11.46403,5,0,0,0,0,2,6,0,0,0,0,0,2
50,74,40,0.986115618,2.202738678,-21.1698693,29.96909988,3.57461,6.391279441,0.472396772,0.05572,-21.23895,5,0,0,3,0,9,6,0,0,3,0,0,9
50,75,51,0.981958704,2.24571168,-20.57513915,29.76992908,4.82615,7.197090362,0.444207874,0.02349,-26.62278,5,0,0,0,0,8,6,0,0,0,0,0,8
50,76,26,0.97560049,2.181510439,-19.41376134,30.08083418,5.41882,7.511548934,0.447911611,0.02663,-27.56724,5,0,0,0,0,13,6,0,0,0,0,0,13
