frequencies,SPLs,Total,clarities,crests,SBs,CPPs,qdeltas,qcis
51,69,7,0.986652202,2.615521539,-22.47061802,28.78211132,11.3707895,0.402263369
51,70,15,0.979397301,2.519602988,-23.20380544,26.43742274,10.22626059,0.360578955
51,76,8,0.964791604,2.919978126,-18.11276062,26.49122438,11.05538516,0.449136965
52,43,7,0.96313528,1.661179946,-16.43739539,17.04548502,2.768727982,0.495838061
52,44,12,0.969886457,1.592959229,-16.85347918,15.91567496,6.023488061,0.494735574
52,47,16,0.981560034,1.620146335,-19.84094017,15.95427803,3.304368926,0.460336886
52,49,5,0.986580044,1.675655369,-22.46412303,16.42129976,7.410879004,0.510796619
52,50,8,0.986170302,1.5794518,-23.10661875,17.68192051,2.154042979,0.439198934
52,51,21,0.986879887,1.661391797,-25.29565745,16.98219958,8.490751294,0.493079946
52,52,13,0.988006104,1.631286431,-25.62752034,16.15784173,3.806737978,0.45886136
52,53,22,0.986834934,1.704474131,-25.03279803,15.94225239,4.651972367,0.365764375
52,54,7,0.964967475,1.7749005,-27.09022948,17.00906634,10.55615187,0.411815428
52,55,7,0.974010632,1.842685513,-28.49648837,18.05505156,10.41810479,0.26260173
52,57,15,0.975647785,1.960618024,-29.54756613,22.16250036,2.953083144,0.429798088
52,58,16,0.981216343,1.893526657,-28.57472362,23.33744155,6.484206127,0.343587258
52,59,7,0.991223503,1.949282998,-25.65736744,23.98942654,8.234201765,0.290617687
52,60,8,0.989843156,2.015712615,-26.66075824,23.71657363,8.075098712,0.297827159
52,61,29,0.983244889,2.095445261,-29.78265246,24.48440357,8.102021318,0.33876996
52,62,16,0.984123003,2.105052254,-27.76429918,24.57083257,8.065979487,0.358503742
52,63,52,0.980360877,2.626715169,-30.80274579,24.72425074,8.271425352,0.257954881
52,64,60,0.981938008,2.56473001,-31.06241801,25.54147006,7.407853529,0.288859044
52,65,54,0.982074896,2.396314128,-28.71235933,25.80100676,6.224241424,0.329001406
52,66,8,0.975320299,2.631453796,-29.1933366,27.00250043,8.205019316,0.278220772
52,67,117,0.97982787,2.501296471,-29.64582561,25.53637682,6.679307785,0.307797268
52,68,8,0.988651814,2.669307994,-25.66276336,26.1271368,8.824621508,0.300236346
52,69,38,0.977507916,2.395123268,-26.60974896,25.21005819,7.348975677,0.369053754
