MIDI,dB,Total,Clarity,Crest,SpecBal,CPP,Entropy,dEGGmax,Qcontact,Icontact,HRFegg,maxCluster,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,maxCPhon,cPhon 1,cPhon 2,cPhon 3,cPhon 4,cPhon 5,cPhon 6
50,56,21,0.988344211,1.855784315,-29.40949536,8.796930898,6.26033,2.898167535,0.441552979,0.00353,-24.57455,5,0,0,0,0,2,6,0,0,0,0,0,2
50,57,21,0.986415767,2.067837695,-30.43841048,8.985949669,4.28059,5.265670456,0.35192569,0.03602,-27.67213,5,0,0,0,0,13,6,0,0,0,0,0,13
50,58,59,0.984018418,1.934307378,-31.32219568,10.18477906,7.7023,5.595446908,0.329656775,0.03454,-34.63748,5,0,0,0,0,3,6,0,0,0,0,0,3
50,59,66,0.979756051,1.96940735,-31.51761407,11.86382183,4.7577,5.077350547,0.336901181,0.09843,-25.04404,3,0,0,5,0,3,6,0,0,0,0,0,8
50,60,113,0.98326466,2.186332384,-31.85752862,13.21448822,6.67504,6.885753788,0.288285154,0.06389,-41.72654,5,0,0,0,0,1,6,0,0,0,0,0,1
50,61,27,0.986243654,2.102901915,-31.51346108,13.4992865,4.46913,6.349741347,0.304590198,0.1084,-6.51445,5,0,0,0,0,2,6,0,0,0,0,0,2
50,62,33,0.985852711,2.155656999,-32.41478885,13.67417776,2.16966,7.024787426,0.294833842,0.07627,-11.44377,5,0,0,0,0,11,6,0,0,5,0,0,6
50,63,34,0.98914651,2.045990733,-31.41366089,13.679712,4.43934,5.772827931,0.352416247,0.04456,-24.74018,5,0,0,0,0,21,6,0,0,0,0,0,21
50,64,13,0.989109135,2.047200195,-30.71998954,13.36108673,4.9203,5.988991385,0.372713194,0.0413,-14.62567,5,0,0,0,0,13,6,0,0,0,0,0,13
50,65,33,0.98579681,2.105318896,-30.05928977,15.08823194,4.32671,7.342241317,0.327764165,0.02278,-25.11759,5,0,0,0,0,27,6,0,0,0,0,0,27
50,66,48,0.977376872,2.209119152,-29.75011245,16.12259174,3.24259,8.305263959,0.320732397,0.0721,-27.32361,5,0,0,0,0,1,6,0,0,0,0,0,1
50,67,52,0.984333974,2.321270752,-27.65688799,16.75497536,5.24556,8.562261047,0.338066012,0.02756,-25.84941,5,0,0,0,0,26,6,0,0,0,0,0,26
50,68,59,0.985201283,2.311492267,-26.05893899,16.91797613,6.29144,9.126466417,0.35414351,0.11742,-37.72323,5,0,0,0,0,11,6,0,0,0,0,0,11
50,69,41,0.985178918,2.347064355,-24.81180542,17.12760747,5.49154,9.380948635,0.370933125,0.04088,-42.11197,5,0,0,0,0,10,6,0,0,0,0,0,10
50,70,6,0.989200091,2.568870263,-22.4499012,17.63604643,5.33704,8.752080911,0.343385745,0.05878,-42.73586,5,0,0,0,0,2,6,0,0,0,0,0,2
50,71,20,0.98138526,2.629539425,-23.10251156,17.81617174,2.06122,10.33994815,0.367077079,0.09853,-6.43604,5,0,0,0,0,13,3,0,0,7,0,3,3
50,72,14,0.988754353,2.628385873,-22.50319818,18.58187509,3.53598,10.8868294,0.369466781,0.03152,-24.49509,5,0,0,0,0,30,6,0,0,0,0,0,30
50,73,33,0.981175282,2.698408445,-22.04858578,19.00715628,5.30374,11.05308966,0.388911028,0.07211,-11.46403,5,0,0,0,0,2,6,0,0,0,0,0,2
50,74,20,0.986115618,2.739956683,-21.1698693,19.96909988,3.57461,11.17658864,0.396329606,0.05572,-21.23895,5,0,0,3,0,9,6,0,0,3,0,0,9
50,75,26,0.981958704,2.802018254,-20.57513915,19.76992908,4.82615,11.67025708,0.399621245,0.02349,-26.62278,5,0,0,0,0,8,6,0,0,0,0,0,8
50,76,14,0.97560049,2.859118755,-19.41376134,20.08083418,5.41882,11.83176759,0.40679676,0.02663,-27.56724,5,0,0,0,0,13,6,0,0,0,0,0,13
50,77,13,0.98006152,3.016560951,-17.87577521,21.55709422,6.30229,12.4495088,0.408869859,0.10225,-34.54194,5,0,0,0,0,7,6,0,0,0,0,0,7
50,78,61,0.980986739,3.010580357,-16.46004856,20.6835333,6.76899,13.81683507,0.397900248,0.02565,-41.72857,5,0,0,0,0,12,6,0,0,0,0,0,12
50,79,46,0.976300314,3.103469854,-15.26361418,20.21095655,6.11459,14.23899959,0.409643261,0.0578,-38.68183,5,0,0,0,0,8,6,0,0,0,0,0,8
50,80,66,0.978476705,3.132539569,-13.769788,19.83988548,0.94914,12.63322915,0.442471033,0.5114,-1.31224,1,1,0,0,1,0,2,0,1,0,1,0,0
50,81,33,0.968918645,3.163206718,-13.46740457,19.30979221,3.73676,12.50169699,0.456619778,0.08396,-5.86592,5,0,0,1,0,2,5,0,0,0,0,2,1
50,82,34,0.975266533,3.13580076,-11.57492476,20.41381326,2.72528,11.46345548,0.477274395,0.14256,-10.80761,3,1,0,19,14,15,6,0,0,13,6,13,17
