frequencies,SPLs,Total,clarities,crests,SBs,CPPs,qdeltas,qcis
59,59,23,0.493699,2.30237,-18.3676,28.7488,7.91767,0.448618
59,60,12,0.494525,2.48472,-17.4196,30.954,6.87385,0.437793
59,61,36,0.496069,2.50068,-17.7032,31.0214,7.47677,0.454906
59,62,23,0.496663,2.57445,-17.3593,31.5033,8.72617,0.456811
59,63,35,0.493318,2.53087,-17.189,30.8873,8.36163,0.468055
59,64,35,0.496541,2.55112,-16.6048,32.3802,8.91813,0.471324
59,65,82,0.497366,2.59908,-16.1681,32.8253,9.35299,0.477812
59,66,106,0.496615,2.52244,-16.2983,31.8556,9.41611,0.498923
59,67,94,0.496402,2.50338,-16.3319,31.9677,9.66852,0.502206
59,68,23,0.496721,2.54596,-16.4826,32.0682,10.1225,0.506383
60,40,37,0.492465,1.71938,-35.0312,19.0566,5.54016,0.455111
60,41,8,0.491639,2.32129,-27.3835,26.4167,6.71144,0.349626
60,42,39,0.49416,2.57073,-24.0117,27.2704,7.69297,0.317302
60,43,17,0.496206,2.63283,-22.8134,26.0416,7.34339,0.320369
60,44,9,0.49601,2.65512,-21.2442,28.2829,7.23694,0.318534
60,51,11,0.482319,2.02787,-26.5931,23.7161,7.4635,0.445127
60,53,12,0.495755,2.23087,-27.8206,27.0605,4.04929,0.411282
61,40,56,0.494682,1.98223,-30.4861,22.7265,6.44748,0.345591
61,41,12,0.478069,1.88173,-32.7895,21.3245,6.25976,0.394944
61,42,31,0.494031,2.61809,-23.583,26.9974,7.13855,0.321593
61,43,96,0.491717,2.60963,-22.1768,27.5262,7.66701,0.329178
61,44,26,0.49567,2.67012,-21.3926,27.3946,8.36422,0.335612
61,45,27,0.493753,2.48801,-23.7226,26.8021,6.90085,0.332514
61,46,9,0.495765,2.69307,-19.1022,29.9213,8.40981,0.346628
61,67,12,0.49472,2.56009,-16.67,32.8628,11.1236,0.502908
62,40,73,0.488921,1.8542,-27.638,20.9074,5.84596,0.4247
62,41,8,0.494216,2.02615,-22.5792,27.2281,6.66297,0.380005
62,42,44,0.488532,2.33831,-26.7283,25.9639,8.64584,0.380973
62,43,26,0.492313,2.28023,-22.9824,27.1171,7.73796,0.370732
62,44,17,0.492004,2.26396,-22.4615,26.8544,11.4478,0.401263
62,45,9,0.491421,2.38221,-20.1104,28.9714,13.631,0.429614
62,46,12,0.485236,1.96139,-32.9249,25.1676,4.39211,0.41107
62,47,9,0.495594,2.59198,-19.0356,30.6978,9.0898,0.358659
62,48,8,0.496342,2.56738,-18.7728,30.4999,9.85554,0.36761
62,50,9,0.496786,2.57508,-18.1137,32.2624,9.97839,0.370177
62,51,17,0.496789,2.53628,-17.6094,32.4364,11.7962,0.389724
62,52,26,0.495561,2.50463,-17.1896,33.4299,13.2667,0.420174
62,53,26,0.496013,2.50502,-16.5993,33.7777,13.5355,0.429484
62,54,70,0.495111,2.50199,-16.3831,33.2044,13.1546,0.443284
62,55,26,0.496263,2.39106,-15.7203,32.748,11.9149,0.447393
62,56,17,0.495726,2.44651,-16.2735,32.7678,11.6972,0.449834
62,57,8,0.467226,2.74538,-13.7513,27.8202,11.5836,0.510019
62,58,26,0.495345,2.61453,-16.3701,31.125,12.2174,0.460127
62,59,61,0.492052,2.58752,-14.9782,31.5849,12.821,0.472108
62,60,61,0.494493,2.6318,-14.2125,31.5995,11.4558,0.496195
62,61,27,0.490645,2.73486,-13.9004,29.4478,11.248,0.501473
62,62,8,0.493162,2.7686,-13.8879,33.3157,10.9609,0.497938
62,67,24,0.496206,2.5626,-16.5477,33.1299,10.5411,0.502232
63,40,44,0.495207,1.62999,-35.3005,18.8012,2.37616,0.495422
63,42,36,0.492068,2.17753,-25.0705,26.0104,5.9485,0.384486
63,44,27,0.492491,2.26582,-21.6991,28.1813,8.26276,0.383402
63,46,20,0.489216,2.17696,-25.6608,26.5,8.68028,0.413141
63,47,12,0.483817,2.01307,-31.2474,23.8646,3.78293,0.375013
63,48,8,0.474653,2.40901,-18.4553,29.0087,13.3676,0.458692
63,49,35,0.490227,2.48464,-17.6808,31.9383,13.601,0.45519
63,50,18,0.492129,2.47916,-16.9217,31.6145,13.1535,0.454443
63,51,9,0.495811,2.68963,-14.9646,33.3832,11.0005,0.491268
63,52,9,0.492479,2.70212,-14.0926,33.0467,10.3782,0.500888
63,53,9,0.495277,2.6529,-14.1202,30.8819,9.55151,0.507446
63,56,9,0.474789,2.69373,-15.0495,28.6566,12.8004,0.515984
63,57,27,0.493904,2.56291,-16.3481,32.4798,11.8608,0.45931
63,60,18,0.495806,2.70205,-13.2372,33.3269,11.1522,0.503311
63,61,62,0.4869,2.7234,-13.6106,30.2134,10.9897,0.505628
63,62,53,0.491446,2.78349,-14.2424,30.3847,10.7958,0.501664
64,41,11,0.496067,1.93148,-32.5869,22.3769,4.18893,0.395752
64,42,11,0.497785,1.95794,-34.5832,21.773,6.22996,0.342948
64,43,9,0.488894,2.01814,-23.0589,25.1861,5.27445,0.364645
64,44,11,0.487723,2.1357,-32.5642,23.6404,6.48216,0.299167
64,45,11,0.495285,2.07855,-29.5743,25.9654,6.10285,0.347272
64,55,9,0.486961,2.60288,-14.6495,30.4245,10.9314,0.515567
65,40,25,0.484578,1.87132,-33.6519,22.4107,3.64493,0.449716
65,43,22,0.497595,2.15982,-30.0682,23.1838,6.70756,0.315216
65,47,11,0.465048,2.0356,-33.823,21.1365,4.59269,0.415811
