MIDI;dB;Total;Clarity;Crest;SpecBal;CPP;Entropy;dEGGmax;Qcontact;Icontact;HRFegg;maxCluster;Cluster 1;Cluster 2;Cluster 3;Cluster 4;Cluster 5;maxCPhon;cPhon 1;cPhon 2;cPhon 3;cPhon 4;cPhon 5
51;54;30;0.473737;2.83305;-16.2503;29.1685;0;12.8447;0.439383;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;55;37;0.488537;2.96473;-15.7112;30.9895;0;13.6745;0.444228;0.18643;1.7514;3;0;0;1;1;0;4;0;0;0;2;0
51;56;38;0.49045;3.03531;-14.8759;30.4288;0;14.0714;0.449837;0.21052;-2.92209;3;2;0;4;2;0;4;2;2;0;4;0
51;57;52;0.487232;3.11681;-14.1822;30.1753;0;13.6979;0.461117;0.20894;-3.56198;3;3;0;4;0;2;4;2;2;0;5;0
51;58;82;0.479707;3.07009;-14.1873;28.6819;0;9.42626;0.467454;0.12879;-12.7935;1;3;0;0;0;0;4;0;0;0;3;0
51;59;111;0.480991;3.07773;-12.5258;27.6525;0;7.93534;0.475073;0.15708;-8.50365;1;3;0;0;0;0;4;0;0;1;2;0
52;40;319;0.487954;2.16903;-29.9489;22.222;0;5.32226;0.384672;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;41;102;0.488856;2.47964;-31.7491;24.8293;0;5.16088;0.323023;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;42;7;0.487956;2.3953;-27.1006;23.629;0;8.60188;0.402607;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;43;55;0.487645;2.30425;-27.2229;24.883;0;7.5635;0.404001;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;44;32;0.483409;2.36761;-24.546;25.5161;0;7.7756;0.405282;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;45;8;0.495252;2.49608;-24.7566;28.0008;0;5.04706;0.335339;0.14531;-14.1123;1;1;0;0;0;0;4;0;0;0;1;0
52;46;22;0.491657;2.42517;-24.4721;26.9466;0;7.99548;0.38929;0.17097;-14.5235;1;1;0;0;0;0;4;0;0;0;1;0
52;47;39;0.491664;2.42137;-23.2286;28.0475;0;9.01606;0.39933;0.13643;-11.0063;1;3;0;0;0;0;4;0;0;0;3;0
52;48;23;0.478512;2.49778;-21.5953;26.7689;0;11.6696;0.433804;0.27539;-11.6793;1;3;0;0;0;0;4;0;0;0;3;0
52;49;23;0.477925;2.62067;-20.0584;27.0299;0;11.7017;0.434705;0.24216;-16.1727;1;10;0;0;0;0;4;0;0;0;10;0
52;50;24;0.46085;2.62389;-19.6471;25.4636;0;12.3616;0.435307;0.26789;-14.4665;1;11;0;0;0;0;4;0;0;0;11;0
52;51;8;0.48869;2.34564;-20.5997;27.9859;0;10.3585;0.412101;0.22904;-16.8163;1;14;0;0;0;0;4;0;0;0;14;0
52;52;24;0.488653;2.45253;-21.0906;30.1605;0;11.9096;0.443665;0.1732;-14.5572;1;16;0;0;0;0;4;0;0;0;16;0
52;53;39;0.48314;2.44117;-21.8053;28.7961;0;12.7802;0.442161;0.17697;-15.6943;1;17;0;0;0;0;4;0;0;0;17;0
52;54;23;0.489034;2.53279;-20.7069;29.5154;0;13.0467;0.454868;0.11915;-7.73378;1;3;0;0;0;0;4;1;0;0;2;0
52;55;15;0.494012;2.56;-20.4258;30.7815;0;13.2878;0.46694;0.18932;-14.8669;1;10;0;0;0;0;4;2;0;0;8;0
52;56;78;0.492002;2.6155;-18.7042;30.8278;0;13.4819;0.461968;0.20647;-12.0255;2;2;3;0;1;0;1;5;0;0;1;0
52;57;100;0.48486;2.81571;-16.2902;29.7142;0;11.826;0.478772;0.20135;-5.29741;3;6;2;7;0;0;1;9;4;0;2;0
